AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxNesting,RatioCommentToCode,SumCyclomatic,Unnamed: 34,is_bug
11.0,0.0,11.0,0.0,3.0,1.0,0.0,3.0,10.0,10.0,10.0,2.0,10.0,0.0,3.0,0.0,7.0,167.0,22.0,125.0,38.0,70.0,20.0,57.0,89.0,37.0,58.0,11.0,3.0,0.16,29.0,,0
12.0,0.0,11.0,1.0,2.0,9.0,0.0,1.0,35.0,35.0,35.0,31.0,35.0,10.0,1.0,3.0,21.0,563.0,70.0,439.0,161.0,227.0,54.0,208.0,288.0,143.0,170.0,7.0,2.0,0.12,68.0,,0
16.0,1.0,15.0,1.0,5.0,1.0,14.0,0.0,18.0,18.0,4.0,1.0,18.0,0.0,0.0,0.0,18.0,351.0,32.0,292.0,64.0,214.0,27.0,133.0,165.0,60.0,120.0,64.0,2.0,0.09,90.0,,0
18.0,1.0,15.0,2.0,4.0,7.0,2.0,2.0,38.0,38.0,36.0,24.0,38.0,11.0,9.0,2.0,16.0,870.0,99.0,673.0,242.0,412.0,98.0,354.0,524.0,249.0,345.0,21.0,5.0,0.15,144.0,,0
2.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,5.0,5.0,5.0,1.0,5.0,0.0,0.0,0.0,5.0,49.0,8.0,21.0,18.0,6.0,20.0,12.0,18.0,13.0,5.0,1.0,0.0,0.95,5.0,,0
10.0,1.0,8.0,1.0,2.0,1.0,0.0,1.0,26.0,26.0,26.0,7.0,26.0,0.0,8.0,0.0,18.0,349.0,52.0,240.0,75.0,133.0,57.0,123.0,178.0,67.0,129.0,11.0,4.0,0.24,58.0,,0
7.0,0.0,4.0,3.0,1.0,1.0,0.0,0.0,6.0,6.0,6.0,5.0,6.0,0.0,0.0,0.0,6.0,95.0,9.0,31.0,14.0,10.0,55.0,16.0,23.0,13.0,10.0,1.0,0.0,1.77,6.0,,0
19.0,1.0,16.0,2.0,2.0,10.0,1.0,11.0,25.0,15.0,24.0,29.0,25.0,3.0,4.0,2.0,16.0,478.0,47.0,386.0,146.0,255.0,54.0,228.0,290.0,138.0,204.0,10.0,3.0,0.14,56.0,,0
3.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,29.0,1.0,10.0,5.0,3.0,18.0,4.0,7.0,5.0,2.0,1.0,0.0,1.8,2.0,,0
7.0,0.0,6.0,1.0,2.0,6.0,3.0,6.0,38.0,36.0,35.0,5.0,38.0,1.0,2.0,0.0,35.0,387.0,64.0,297.0,104.0,144.0,29.0,139.0,207.0,91.0,124.0,5.0,3.0,0.1,61.0,,0
